2021-09-14 23:59:51:437 860 sec: 153999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:00:01:437 870 sec: 153999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:00:11:437 880 sec: 153999 operations; 0 current ops/sec; est completion in 1 hour 20 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:00:21:437 890 sec: 160999 operations; 700 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=7000, Max=47874047, Min=5, Avg=6844.4, 90=9, 99=13, 99.9=29, 99.99=10039] 
2021-09-15 00:00:31:437 900 sec: 160999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:00:41:437 910 sec: 160999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:00:51:437 920 sec: 160999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:01:01:437 930 sec: 167999 operations; 699.93 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=7000, Max=41877503, Min=5, Avg=5988.37, 90=9, 99=24, 99.9=32, 99.99=11791] 
2021-09-15 00:01:11:437 940 sec: 167999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:01:21:437 950 sec: 167999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:01:31:437 960 sec: 167999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:01:41:437 970 sec: 167999 operations; 0 current ops/sec; est completion in 1 hour 20 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:01:51:437 980 sec: 174999 operations; 700 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=7000, Max=52461567, Min=5, Avg=7502.86, 90=7, 99=24, 99.9=67, 99.99=21583] 
2021-09-15 00:02:01:437 990 sec: 174999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-15 00:02:11:437 1000 sec: 174999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
