2021-09-16 06:21:36:855 880 sec: 97999 operations; 0 current ops/sec; est completion in 2 hours 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:21:46:855 890 sec: 97999 operations; 0 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:21:56:855 900 sec: 104999 operations; 700 current ops/sec; est completion in 2 hours 7 minutes [INSERT: Count=7000, Max=66912255, Min=5, Avg=9563.27, 90=7, 99=22, 99.9=35, 99.99=2183] 
2021-09-16 06:22:06:855 910 sec: 104999 operations; 0 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:22:16:855 920 sec: 104999 operations; 0 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:22:26:855 930 sec: 104999 operations; 0 current ops/sec; est completion in 2 hours 12 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:22:36:855 940 sec: 104999 operations; 0 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:22:46:856 950 sec: 104999 operations; 0 current ops/sec; est completion in 2 hours 14 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:22:56:856 960 sec: 104999 operations; 0 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:23:06:855 970 sec: 111999 operations; 700 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=7000, Max=66846719, Min=5, Avg=9554.7, 90=7, 99=22, 99.9=26, 99.99=9031] 
2021-09-16 06:23:16:855 980 sec: 111999 operations; 0 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
